Title,Studio,Content Rating,Year,Rating,Summary,Genres,Release Date,Writers,Duration,Directors,Roles
10 Cloverfield Lane,Paramount Pictures,PG-13,2016,6.8,"After a car accident, Michelle awakens
to find herself in a mysterious bunker
with two men named Howard and Emmett.
Howard offers her a pair of crutches to
help her remain mobile with her leg
injury sustained from the car crash and
tells her to ""get good on those"" before
leaving the bunker. She has been given
the information that there has been an
alien attack and the outside world is
poisoned. However, Howard and Emmett's
intentions soon become questionable and
Michelle is faced with a question: Is it
better in here or out there?",Science Fiction,3/8/2016,"Matthew Stuecken - Josh Campbell -
Damien Chazelle",1:43:32,Dan Trachtenberg,"Mary Elizabeth Winstead - John Goodman -
John Gallagher Jr."
"13 Hours: The Secret Soldiers of
Benghazi",Paramount Pictures,R,2016,7,"An American Ambassador is killed during
an attack at a U.S. compound in Libya as
a security team struggles to make sense
out of the chaos.",Action - Drama - History,1/15/2016,Chuck Hogan,2:24:29,Michael Bay,"James Badge Dale - John Krasinski - Max
Martini"
20th Century Women,Annapurna Pictures,R,2016,7.2,"In 1979 Santa Barbara, California,
Dorothea Fields is a determined single
mother in her mid-50s who is raising her
adolescent son, Jamie, at a moment
brimming with cultural change and
rebellion. Dorothea enlists the help of
two younger women – Abbie, a free-
spirited punk artist living as a boarder
in the Fields' home and Julie, a savvy
and provocative teenage neighbour – to
help with Jamie's upbringing.",Drama,10/8/2016,Mike Mills,1:58:44,Mike Mills,"Annette Bening - Elle Fanning - Greta
Gerwig"
22 Jump Street,Columbia Pictures,R,2014,7,"After making their way through high
school (twice), big changes are in store
for officers Schmidt and Jenko when they
go deep undercover at a local college.
But when Jenko meets a kindred spirit on
the football team, and Schmidt
infiltrates the bohemian art major
scene, they begin to question their
partnership. Now they don't have to just
crack the case - they have to figure out
if they can have a mature relationship.
If these two overgrown adolescents can
grow from freshmen into real men,
college might be the best thing that
ever happened to them.",Crime - Comedy - Action,6/13/2014,"Michael Bacall - Oren Uziel - Rodney
Rothman",1:51:57,Phil Lord - Christopher Miller,"Jonah Hill - Channing Tatum - Dave
Franco"
9,Focus Films,PG-13,2009,6.6,"When 9 first comes to life, he finds
himself in a post-apocalyptic world. All
humans are gone, and it is only by
chance that he discovers a small
community of others like him taking
refuge from fearsome machines that roam
the earth intent on their extinction.
Despite being the neophyte of the group,
9 convinces the others that hiding will
do them no good.",Action - Adventure - Animation,9/9/2009,Shane Acker - Pamela Pettler,1:19:24,Shane Acker,"Christopher Plummer - Martin Landau -
John C. Reilly"
Aladdin,Walt Disney Pictures,G,1992,7.4,"Princess Jasmine grows tired of being
forced to remain in the palace and she
sneaks out into the marketplace  in
disguise where she meets street-urchin
Aladdin and the two fall in love,
although she may only marry a prince.
After being thrown in jail, Aladdin and
becomes embroiled in a plot to find a
mysterious lamp with which the evil
Jafar hopes to rule the land.",Animation - Family - Comedy,11/25/1992,"Ted Elliott - Terry Rossio - Ron
Clements",1:30:39,Ron Clements - John Musker,"Scott Weinger - Robin Williams - Linda
Larkin"
Alice Through the Looking Glass,Walt Disney Pictures,PG,2016,6.5,"In the sequel to Tim Burton's ""Alice in
Wonderland"", Alice Kingsleigh returns to
Underland and faces a new adventure in
saving the Mad Hatter.",Fantasy,5/27/2016,Linda Woolverton,1:52:57,James Bobin,"Johnny Depp - Mia Wasikowska - Anne
Hathaway"
Anchorman 2: The Legend Continues,Paramount Pictures,PG-13,2013,6,"With the 70s behind him, San Diego's top
rated newsman, Ron Burgundy, returns to
take New York's first 24-hour news
channel by storm.",Comedy,12/18/2013,Will Ferrell - Adam McKay,2:03:05,Adam McKay,Will Ferrell - Steve Carell - Paul Rudd
The Angry Birds Movie,Sony Pictures Animation,PG,2016,5.9,"An island populated entirely by happy,
flightless birds or almost entirely. In
this paradise, Red, a bird with a temper
problem, speedy Chuck, and the volatile
Bomb have always been outsiders. But
when the island is visited by mysterious
green piggies, it’s up to these unlikely
outcasts to figure out what the pigs are
up to.",Action - Animation - Comedy,5/20/2016,Jon Vitti,1:37:13,Clay Kaytis - Fergal Reilly,"Jason Sudeikis - Josh Gad - Danny
McBride"
Arrival,Paramount Pictures,PG-13,2016,7,"Taking place after alien crafts land
around the world, an expert linguist is
recruited by the military to determine
whether they come in peace or are a
threat.",Thriller - Drama - Science Fiction,9/2/2016,Eric Heisserer,1:56:25,Denis Villeneuve,"Amy Adams - Jeremy Renner - Forest
Whitaker"
